track_id,track_name,artist,genre,release_year,duration_ms,popularity,tempo,energy,danceability,loudness,valence,acousticness,instrumentalness,speechiness,liveness,key,mode,time_signature
TRACK_0041,Midnight Nights,Olivia Rodrigo,pop,2024,129444,57,107.71,0.7175,0.7641,-1.38,0.5317,0.3033,0.2932,0.0448,0.2502,9,0,4
TRACK_0042,Neon Mirror,Phoebe Bridgers,hip-hop,1992,355647,55,175.7,0.5888,0.8062,-13.6,0.7362,0.2018,0.3388,0.0394,0.002,3,0,3
TRACK_0043,Hollow Rain,J. Cole,electronic,2000,329685,32,148.46,0.7589,0.7344,-11.03,0.769,0.1616,0.0521,0.0319,0.2009,6,0,4
TRACK_0044,Dancing Sky,J. Cole,blues,2007,161732,99,136.93,0.4656,0.4801,-11.17,0.4182,0.6451,0.328,0.0346,0.0224,1,1,3
TRACK_0045,Falling Wave,SZA,folk,2019,211660,49,71.77,0.3001,0.7188,-5.98,0.2708,0.5328,0.0113,0.138,0.2205,3,0,3
TRACK_0046,Wild Road,Tame Impala,latin,2007,346584,18,111.89,0.2569,0.3467,-3.74,0.462,0.7906,0.4413,0.3415,0.252,4,1,4
TRACK_0047,Endless Shadow,Dua Lipa,r&b,1997,349910,43,119.39,0.5422,0.7587,-1.87,0.8451,0.2466,0.0177,0.0543,0.0021,2,1,3
TRACK_0048,Hollow Sky,Bon Iver,rock,2010,234398,87,141.67,0.7318,0.4428,-0.76,0.6042,0.2271,0.0705,0.0269,0.3653,8,0,4
TRACK_0049,Sweet Soul,Lizzo,soul,1992,305803,65,66.04,0.3565,0.8298,-2.18,0.8789,0.1085,0.1125,0.3965,0.0138,0,0,4
TRACK_0050,Hollow Shadow,Post Malone,r&b,2009,252939,49,157.4,0.721,0.7854,-10.91,0.6312,0.5414,0.1482,0.0702,0.4166,10,1,4
TRACK_0051,Fading Pulse,Kendrick Lamar,r&b,2002,230217,95,124.92,0.9785,0.6992,-12.93,0.4301,0.074,0.1314,0.0065,0.6597,6,0,4
TRACK_0052,Fading Road,Coldplay,indie,1990,199658,46,173.93,0.8903,0.684,-6.31,0.4167,0.4753,0.0266,0.1935,0.3112,3,1,4
TRACK_0053,Dancing Flame,Fleetwood Mac,indie,2018,297111,37,190.58,0.8649,0.6991,-2.68,0.4928,0.5294,0.0069,0.0021,0.085,8,1,4
TRACK_0054,Golden Mirror,Rihanna,latin,2011,144480,40,113.32,0.7674,0.843,-0.6,0.6159,0.2053,0.2769,0.1458,0.1138,10,1,4
TRACK_0055,Wild Rain,Dua Lipa,reggae,1992,184184,70,173.81,0.4904,0.4504,-0.01,0.8053,0.1395,0.8542,0.0649,0.2638,9,0,4
TRACK_0056,Burning Echo,Lana Del Rey,r&b,2005,158684,93,154.04,0.603,0.6201,-7.64,0.6571,0.0,0.0665,0.0096,0.2004,11,0,3
TRACK_0057,Frozen Wave,Harry Styles,reggae,2023,241778,16,137.27,0.5642,0.7248,-8.78,0.7965,0.4641,0.3139,0.0413,0.0259,8,0,3
TRACK_0058,Crystal Flame,Bruno Mars,country,2010,317984,66,89.81,0.2201,0.7153,-17.27,0.6929,0.5342,0.0022,0.0345,0.1605,9,1,4
TRACK_0059,Dark Echo,Fleetwood Mac,country,2006,317073,41,131.96,0.4746,0.5406,-4.33,0.4438,0.7329,0.0758,0.0778,0.357,10,1,4
TRACK_0060,Broken Storm,Fleetwood Mac,country,1994,307051,46,96.15,0.8647,0.3809,-10.82,0.5445,0.7486,0.587,0.0543,0.0718,3,1,4
TRACK_0061,Endless Nights,Kendrick Lamar,electronic,1999,180623,59,85.46,0.5635,0.8304,-13.09,0.462,0.194,0.3406,0.0514,0.1982,11,0,4
TRACK_0062,Frozen Sky,Tame Impala,rock,2024,242139,63,72.42,0.7553,0.3786,-17.59,0.3382,0.0185,0.0926,0.0185,0.0815,0,0,4
TRACK_0063,Sweet Dreams,Imagine Dragons,r&b,2014,245037,10,182.3,0.9447,0.7835,-1.58,0.5928,0.095,0.0095,0.0259,0.2954,5,1,4
TRACK_0064,Frozen Pulse,Adele,folk,2004,247986,38,127.83,0.7238,0.4015,-7.63,0.4593,0.2465,0.069,0.0497,0.2477,4,1,4
TRACK_0065,Burning Shadow,Lana Del Rey,pop,2000,340333,69,75.0,0.7892,0.7874,-11.05,0.8739,0.5195,0.1141,0.0222,0.0565,2,0,4
TRACK_0066,Golden Sky,Kendrick Lamar,indie,2019,167639,16,105.85,0.4641,0.311,-17.6,0.348,0.3255,0.3318,0.072,0.2046,4,1,4
TRACK_0067,Hidden Shadow,Tame Impala,jazz,2014,192943,63,142.16,0.3488,0.602,-5.09,0.2477,0.7616,0.0848,0.0109,0.0601,4,0,4
TRACK_0068,Endless Lights,Bon Iver,pop,2004,290431,18,198.11,0.8875,0.5928,-7.88,0.8383,0.0,0.0406,0.0086,0.0299,10,0,3
TRACK_0069,Wild Dreams,Khalid,jazz,1999,182533,26,84.27,0.2524,0.3069,-2.06,0.2472,0.6611,0.0125,0.0595,0.0951,7,0,4
TRACK_0070,Hidden Storm,Phoebe Bridgers,jazz,2000,278831,87,96.11,0.4085,0.3673,-16.58,0.4747,0.7856,0.1657,0.212,0.1465,11,0,4
TRACK_0071,Midnight Vibe,Dua Lipa,classical,2009,270941,96,105.32,0.0996,0.4615,-11.49,0.5341,0.6506,0.1063,0.0222,0.022,6,1,4
TRACK_0072,Sweet Wave,Taylor Swift,rock,2009,342899,97,127.36,0.6476,0.5697,-9.35,0.5035,0.0,0.008,0.0328,0.026,9,0,4
TRACK_0073,Neon Voice,Adele,reggae,2017,293413,57,95.65,0.2444,0.8445,-6.37,0.7669,0.3256,0.2142,0.0724,0.1148,1,1,3
TRACK_0074,Frozen Echo,Taylor Swift,folk,2017,214945,91,195.1,0.4883,0.4919,-17.51,0.7814,0.7507,0.1969,0.2229,0.036,7,0,4
TRACK_0075,Rising Storm,Khalid,hip-hop,2024,323067,71,79.57,0.663,0.7644,-4.09,0.6009,0.3752,0.0338,0.0143,0.0323,7,1,4
TRACK_0076,Golden Storm,Fleetwood Mac,classical,2005,316732,69,182.81,0.4315,0.5352,-12.15,0.4922,0.4188,0.2544,0.0463,0.0852,9,1,4
TRACK_0077,Falling Shadow,Harry Styles,pop,2021,175605,55,92.51,0.4955,0.7078,-2.01,0.9853,0.1522,0.0726,0.0627,0.4265,4,1,4
TRACK_0078,Hollow Storm,Coldplay,soul,1990,255430,34,106.89,0.637,0.3643,-17.21,0.6394,0.7579,0.237,0.0774,0.1372,1,0,4
TRACK_0079,Endless Wave,Michael Jackson,country,2021,237486,12,94.79,0.8257,0.7337,-5.12,0.4182,0.2062,0.0051,0.0675,0.2587,1,1,4
TRACK_0080,Sweet Voice,Michael Jackson,r&b,2023,210113,64,80.99,0.5979,0.8629,-15.41,0.4611,0.393,0.1922,0.1018,0.1845,11,1,4
TRACK_0081,Fading Storm,Doja Cat,blues,1997,309080,34,85.42,0.412,0.6615,-1.83,0.1711,0.6339,0.1313,0.041,0.1116,5,0,4
TRACK_0082,Dark Soul,Tyler the Creator,reggae,2020,192482,85,145.6,0.8631,0.3843,-19.64,0.5541,0.5104,0.3085,0.2152,0.1499,8,1,3
TRACK_0083,Broken Voice,Harry Styles,folk,2009,123708,100,140.68,0.6877,0.8074,-7.87,0.3068,0.5951,0.0828,0.1067,0.4903,8,0,4
TRACK_0084,Neon Pulse,Lil Nas X,pop,1998,287213,72,115.86,0.7092,0.8437,-18.9,0.7548,0.4546,0.0612,0.1299,0.0008,1,0,4
TRACK_0085,Falling Echo,Fleetwood Mac,classical,2011,168329,16,108.49,0.1982,0.1318,-13.06,0.4347,0.8735,0.2006,0.0482,0.0458,4,1,3
TRACK_0086,Golden Road,Beyoncé,folk,1994,271262,90,118.65,0.5167,0.3775,-1.7,0.5489,0.2235,0.0675,0.0695,0.1801,10,0,4
TRACK_0087,Sweet Mirror,Ariana Grande,hip-hop,2005,151051,81,69.39,0.6097,0.6693,-5.0,0.5618,0.586,0.0353,0.1827,0.0413,6,0,4
TRACK_0088,Hidden Flame,Giveon,r&b,2017,200053,82,121.71,1.0,0.6693,-11.98,0.0181,0.4083,0.123,0.0135,0.0361,9,0,4
TRACK_0089,Midnight Soul,Tyler the Creator,blues,2006,293127,20,63.55,0.1389,0.2633,-16.88,0.7705,0.5834,0.1888,0.0861,0.0049,2,0,4
TRACK_0090,Golden Heart,The Weeknd,metal,2016,238096,98,85.0,0.7296,0.3408,-6.95,0.4239,0.1099,0.0408,0.0084,0.0502,9,1,4
TRACK_0091,Fading Flame,Drake,pop,2004,189351,90,153.53,0.8053,0.8033,-15.9,0.8819,0.1067,0.052,0.1813,0.0024,9,0,4
TRACK_0092,Crystal Storm,Olivia Rodrigo,rock,1994,135633,31,113.16,0.633,0.7147,-8.19,0.2867,0.0,0.0468,0.0783,0.0948,4,1,4
TRACK_0093,Hidden Mirror,Lana Del Rey,rock,2007,251195,79,166.9,0.5918,0.7045,-17.2,0.4307,0.1211,0.3043,0.0535,0.4049,7,1,3
TRACK_0094,Neon Sky,Glass Animals,indie,2006,126780,21,135.83,0.7599,0.5339,-7.33,0.3881,0.1157,0.0447,0.012,0.3242,3,0,4
TRACK_0095,Falling Rhythm,Fleetwood Mac,indie,2007,167576,84,62.57,0.8891,0.5891,-1.71,0.3906,0.2202,0.0188,0.0687,0.0577,6,1,3
TRACK_0096,Lost Sky,Tame Impala,country,2010,295671,23,61.54,0.5879,0.6583,-17.26,0.3445,0.6808,0.3454,0.1656,0.1638,2,1,4
TRACK_0097,Falling Mirror,Lana Del Rey,blues,1992,239229,21,132.65,0.5998,0.5322,-19.06,0.1641,0.4739,0.0273,0.1072,0.0156,5,1,4
TRACK_0098,Burning Rhythm,The Weeknd,rock,2024,241104,62,109.79,0.6566,0.5372,-5.62,0.2903,0.0,0.0529,0.0669,0.1163,0,0,4
TRACK_0099,Hollow Echo,Fleetwood Mac,electronic,1993,173361,44,64.37,0.7792,0.7722,-14.75,0.7901,0.047,0.1356,0.0042,0.1235,8,0,4
TRACK_0100,Falling Fire,Dua Lipa,country,2005,306065,30,70.52,0.6178,0.4838,-5.44,0.2746,0.6396,0.1026,0.0933,0.1027,4,0,4
TRACK_0101,Golden Wave,Post Malone,r&b,2019,150793,92,98.1,0.7562,0.7238,-8.2,0.7445,0.2949,0.0672,0.0077,0.4487,2,1,4
TRACK_0102,Silent Sky,Michael Jackson,metal,2020,183892,68,162.51,0.6681,0.4161,-3.87,0.4739,0.2065,0.1613,0.0943,0.3405,8,0,4
TRACK_0103,Hollow Rhythm,Kendrick Lamar,jazz,1994,192416,63,85.28,0.3395,0.1309,-8.64,0.4615,0.8144,0.3706,0.0028,0.2152,5,1,3
TRACK_0104,Fading Vibe,Maroon 5,classical,2021,346822,29,178.24,0.417,0.348,-13.62,0.4039,0.9194,0.2648,0.003,0.1633,7,1,4
TRACK_0105,Endless Pulse,Frank Ocean,electronic,2019,204352,34,107.58,0.6679,0.7129,-5.5,0.5543,0.1767,0.0101,0.0303,0.1396,11,0,4
TRACK_0106,Broken Sky,Ed Sheeran,r&b,2010,315219,70,146.22,0.5524,0.8844,-15.34,0.6066,0.3302,0.0037,0.1633,0.0039,11,1,4
TRACK_0107,Crystal Echo,Ed Sheeran,latin,1998,251672,85,199.71,0.8123,0.5909,-12.99,0.7591,0.7573,0.2186,0.0411,0.1177,5,0,4
TRACK_0108,Rising Flame,The Weeknd,rock,1999,227473,93,163.26,0.892,0.4971,-15.22,0.0983,0.0,0.0176,0.035,0.0609,2,0,4
TRACK_0109,Silent Shadow,Khalid,reggae,2015,290350,20,198.28,0.4074,0.4285,-11.44,0.2125,0.1295,0.0728,0.0911,0.0443,5,1,4
TRACK_0110,Neon Moment,Drake,latin,2005,285455,97,183.08,0.865,0.7325,-1.11,0.4923,0.1626,0.0945,0.076,0.0329,4,0,3
TRACK_0111,Midnight Fire,Fleetwood Mac,r&b,2000,301928,48,92.29,0.675,0.8292,-16.47,1.0,0.2434,0.0374,0.0165,0.2722,0,0,4
TRACK_0112,Lost Voice,Radiohead,reggae,1999,184014,77,189.89,0.4451,0.3318,-0.1,0.8187,0.7784,0.0287,0.0404,0.2556,6,0,4
TRACK_0113,Golden Moment,Frank Ocean,hip-hop,2005,250460,84,91.33,0.5251,0.8271,-9.26,0.6766,0.1172,0.1348,0.0694,0.0173,2,0,4
TRACK_0114,Silent Dreams,Queen,latin,2008,297631,79,193.79,0.8142,0.4461,-2.76,0.8221,0.1907,0.2487,0.0852,0.1441,2,0,4
TRACK_0115,Frozen Storm,Queen,electronic,2009,172223,59,161.28,0.6988,0.6542,-10.08,0.5038,0.0,0.0127,0.0199,0.2069,7,0,4
TRACK_0116,Fading Dreams,Lana Del Rey,r&b,2007,122122,82,108.69,0.1279,0.693,-6.44,0.6186,0.3808,0.1251,0.0249,0.3796,10,0,4
TRACK_0117,Broken Moment,Bon Iver,blues,2004,286885,34,157.65,0.4386,0.5463,-6.4,0.5215,0.8731,0.1446,0.1118,0.0311,9,1,4
TRACK_0118,Midnight Lights,Giveon,latin,2018,128746,84,78.04,0.8166,0.7795,-13.3,0.7781,0.1205,0.2041,0.014,0.3066,5,0,3
TRACK_0119,Fading Shadow,Arctic Monkeys,soul,2001,172637,26,146.37,0.7825,0.5791,-0.38,0.4009,0.1045,0.1499,0.0241,0.1809,8,1,4
TRACK_0120,Silent Heart,Lizzo,metal,2020,331416,47,135.78,0.9495,0.482,-0.74,0.3697,0.1267,0.0628,0.0801,0.484,11,1,3
TRACK_0121,Golden Rain,Doja Cat,country,2015,341706,81,102.13,0.2718,0.8155,-5.84,0.2475,0.5815,0.0105,0.0698,0.0764,5,0,4
TRACK_0122,Silent Pulse,Post Malone,pop,2019,216622,96,63.44,0.6624,0.7653,-19.56,0.5448,0.1941,0.0586,0.0537,0.2649,11,1,4
TRACK_0123,Lost Fire,Doja Cat,r&b,2020,126560,89,82.91,0.5667,0.9681,-4.1,0.1102,0.0,0.1775,0.02,0.0155,8,1,4
TRACK_0124,Golden Flame,Giveon,jazz,2016,150585,27,192.11,0.5183,0.5766,-11.61,0.1906,0.7166,0.1526,0.0405,0.0577,0,0,4
TRACK_0125,Crystal Road,Queen,country,2013,295763,99,89.83,0.8888,0.5251,-19.38,0.361,0.7259,0.1582,0.0368,0.3596,8,1,4
TRACK_0126,Crystal Sky,Taylor Swift,blues,2021,281389,62,168.72,0.4258,0.3757,-4.58,0.374,0.7905,0.2794,0.1145,0.1771,4,0,4
TRACK_0127,Midnight Voice,Adele,jazz,2012,135872,60,76.42,0.3795,0.4864,-17.5,0.708,0.7365,0.1735,0.045,0.0403,4,0,3
TRACK_0128,Hidden Nights,Tyler the Creator,folk,1991,133258,52,171.66,0.5441,0.3353,-13.79,0.3883,0.5074,0.0911,0.0009,0.0135,3,0,4
TRACK_0129,Golden Pulse,Tyler the Creator,jazz,2003,333136,39,157.3,0.2822,0.0164,-2.8,0.5721,0.5124,0.227,0.0032,0.1179,5,0,4
TRACK_0130,Crystal Pulse,Lizzo,pop,2001,148816,94,158.35,0.6884,0.7016,-8.81,0.6455,0.4382,0.0015,0.0316,0.1313,0,0,3
TRACK_0131,Broken Vibe,Glass Animals,electronic,1991,165677,43,139.46,0.6903,0.6682,-6.21,0.5938,0.0298,0.2419,0.0179,0.033,0,0,4
TRACK_0132,Falling Flame,Phoebe Bridgers,metal,2022,275625,23,181.94,0.8276,0.3302,-5.72,0.5216,0.2812,0.2427,0.0332,0.3036,7,0,4
TRACK_0133,Rising Mirror,Queen,pop,1991,135945,71,133.7,0.8781,0.7737,-5.37,0.5122,0.399,0.0128,0.005,0.0511,6,1,3
TRACK_0134,Silent Moment,Maroon 5,country,2010,219851,86,107.17,0.3117,0.7795,-16.36,0.8831,0.2534,0.2339,0.086,0.1241,8,1,4
TRACK_0135,Endless Soul,Radiohead,metal,2018,352807,39,87.94,0.9728,0.5154,-6.4,0.474,0.1038,0.0112,0.0025,0.0536,6,1,4
TRACK_0136,Frozen Fire,Glass Animals,r&b,2017,201926,95,119.57,0.8137,0.7689,-13.08,0.7246,0.3399,0.0696,0.3515,0.0074,4,1,4
TRACK_0137,Falling Nights,Ariana Grande,latin,1995,144439,65,128.13,0.8069,0.6183,-2.53,0.7077,0.407,0.3464,0.0438,0.0583,1,1,4
TRACK_0138,Frozen Lights,Lil Nas X,metal,2009,212181,23,148.42,0.88,0.4769,-5.34,0.1992,0.1533,0.0212,0.1007,0.4315,9,0,4
TRACK_0139,Endless Voice,Post Malone,latin,2007,270496,38,179.61,0.3258,0.4306,-10.15,0.3267,0.78,0.0426,0.1637,0.1061,6,0,4
TRACK_0140,Dark Storm,Giveon,soul,2011,212018,10,114.75,0.5604,0.4976,-0.61,0.3145,0.5151,0.0448,0.0855,0.0708,2,0,4
TRACK_0141,Burning Nights,Olivia Rodrigo,latin,1991,144053,77,93.05,0.7414,0.372,-18.53,0.5177,0.7789,0.0279,0.0587,0.074,3,1,4
TRACK_0142,Dancing Heart,Phoebe Bridgers,country,2009,309162,51,158.95,0.7802,0.537,-16.66,0.632,0.2741,0.0275,0.003,0.24,9,0,3
TRACK_0143,Dark Moment,Billie Eilish,hip-hop,1995,191330,66,141.95,0.6018,0.9877,-2.63,0.636,0.2573,0.0346,0.0095,0.0566,10,1,4
TRACK_0144,Hidden Sky,The 1975,indie,2003,317903,75,77.1,0.24,0.5921,-10.96,0.2275,0.7556,0.4074,0.0304,0.1274,1,1,4
TRACK_0145,Fading Lights,Doja Cat,rock,2015,277109,17,128.44,0.8916,0.502,-6.66,0.0,0.1998,0.0226,0.0024,0.0663,0,0,4
TRACK_0146,Falling Sky,Harry Styles,jazz,1998,219669,78,122.13,0.2092,0.4766,-2.64,0.2899,0.7915,0.0292,0.0944,0.3278,11,0,4
TRACK_0147,Burning Lights,Radiohead,metal,1991,240521,19,181.65,0.815,0.5047,-8.59,0.4385,0.3403,0.0046,0.2138,0.2105,5,1,4
TRACK_0148,Frozen Mirror,Post Malone,r&b,2015,125467,51,151.17,0.4885,0.8468,-17.87,0.8762,0.0366,0.1609,0.5953,0.0089,2,1,4
TRACK_0149,Sweet Road,Bruno Mars,rock,1995,223747,49,139.38,0.7936,0.4993,-5.23,0.5344,0.1321,0.3162,0.0414,0.0713,11,1,4
TRACK_0150,Rising Fire,Bruno Mars,electronic,2022,170830,54,120.98,0.8456,0.8184,-3.64,0.7771,0.2366,0.0192,0.0629,0.001,5,0,4
TRACK_0151,Wild Heart,OneRepublic,rock,1999,319285,93,114.4,0.6904,0.234,-11.03,0.2806,0.2595,0.0407,0.0374,0.0464,1,0,4
TRACK_0152,Sweet Vibe,Fleetwood Mac,country,2010,346557,90,124.89,0.2512,0.6319,-12.4,0.6336,0.5677,0.2985,0.0586,0.1174,5,0,4
TRACK_0153,Sweet Lights,Bon Iver,rock,2022,139448,49,145.11,0.661,0.2032,-4.7,0.938,0.2023,0.2515,0.1013,0.5603,7,1,3
TRACK_0154,Lost Mirror,Drake,pop,1995,281220,86,74.2,0.6897,0.7971,-10.28,0.7606,0.1273,0.0445,0.0268,0.0661,8,1,4
TRACK_0155,Hidden Vibe,SZA,indie,2010,278598,70,160.26,0.7621,0.5965,-14.55,0.6272,0.3179,0.08,0.0104,0.036,8,0,3
TRACK_0156,Midnight Shadow,Ariana Grande,country,2022,289378,32,74.96,0.6768,0.3998,-8.65,0.6963,0.4676,0.0445,0.2636,0.1189,0,0,4
TRACK_0157,Rising Rhythm,Khalid,country,2000,215393,57,193.2,0.7642,0.6026,-7.97,0.6432,0.1304,0.2565,0.1725,0.0466,4,1,4
TRACK_0158,Dancing Moment,Billie Eilish,reggae,2011,137278,52,186.0,0.3484,0.636,-12.93,0.7879,0.3877,0.0405,0.1213,0.0578,1,1,4
TRACK_0159,Dancing Nights,Maroon 5,classical,1999,211703,49,147.34,0.3058,0.5672,-10.96,0.4758,0.649,0.1325,0.0147,0.2403,10,1,4
TRACK_0160,Endless Road,Tame Impala,indie,1998,295666,99,149.88,0.804,0.4192,-7.86,0.2165,0.167,0.1187,0.0211,0.0892,11,0,4
TRACK_0161,Lost Dreams,Phoebe Bridgers,metal,2009,167254,37,119.95,0.7912,0.837,-5.65,0.7778,0.0196,0.1769,0.3792,0.0247,5,1,4
TRACK_0162,Crystal Rain,Drake,jazz,2008,341361,22,71.12,0.3954,0.2999,-18.29,0.5327,0.5065,0.3369,0.017,0.0703,8,0,4
TRACK_0163,Hollow Road,Olivia Rodrigo,soul,2000,167407,98,69.47,0.3587,0.4952,-3.99,0.5633,0.1486,0.0399,0.0621,0.3818,9,0,4
TRACK_0164,Broken Flame,Khalid,pop,2008,317234,67,153.73,0.7755,1.0,-0.12,0.4033,0.0093,0.1626,0.0653,0.2361,3,0,4
TRACK_0165,Falling Soul,Phoebe Bridgers,reggae,2018,241026,46,84.54,0.5256,0.3331,-6.2,0.8703,0.4936,0.0336,0.0614,0.0183,6,1,4
